Date,Capex_Macro_Comp,Capex_Hyperscaler,Capex_Supply
2000-02-29,344.3181818181818,,344.3181818181818
2000-03-31,344.3181818181818,,344.3181818181818
2000-04-30,248.86363636363632,,248.86363636363632
2000-05-31,248.86363636363632,,248.86363636363632
2000-06-30,248.86363636363632,,248.86363636363632
2000-07-31,71.59090909090908,,71.59090909090908
2000-08-31,71.59090909090908,,71.59090909090908
2000-09-30,71.59090909090908,,71.59090909090908
2000-10-31,153.4090909090909,,153.4090909090909
2000-11-30,153.4090909090909,,153.4090909090909
2000-12-31,153.4090909090909,,153.4090909090909
2001-01-31,0.0,,0.0
2001-02-28,0.0,,0.0
2001-03-31,0.0,,0.0
2001-04-30,-178.4090909090909,,-178.4090909090909
2001-05-31,-178.4090909090909,,-178.4090909090909
2001-06-30,-178.4090909090909,,-178.4090909090909
2001-07-31,-110.2272727272727,,-110.2272727272727
2001-08-31,-110.2272727272727,,-110.2272727272727
2001-09-30,-110.2272727272727,,-110.2272727272727
2001-10-31,-44.31818181818181,,-44.31818181818181
2001-11-30,-44.31818181818181,,-44.31818181818181
2001-12-31,-44.31818181818181,,-44.31818181818181
2002-01-31,-36.36363636363637,,-36.36363636363637
2002-02-28,-36.36363636363637,,-36.36363636363637
2002-03-31,-36.36363636363637,,-36.36363636363637
2002-04-30,17.045454545454543,,17.045454545454543
2002-05-31,17.045454545454543,,17.045454545454543
2002-06-30,17.045454545454543,,17.045454545454543
2002-07-31,130.68181818181816,,130.68181818181816
2002-08-31,130.68181818181816,,130.68181818181816
2002-09-30,130.68181818181816,,130.68181818181816
2002-10-31,-109.09090909090908,,-109.09090909090908
2002-11-30,-109.09090909090908,,-109.09090909090908
2002-12-31,-109.09090909090908,,-109.09090909090908
2003-01-31,164.77272727272725,,164.77272727272725
2003-02-28,164.77272727272725,,164.77272727272725
2003-03-31,164.77272727272725,,164.77272727272725
2003-04-30,112.5,,112.5
2003-05-31,112.5,,112.5
2003-06-30,112.5,,112.5
2003-07-31,385.22727272727263,,385.22727272727263
2003-08-31,385.22727272727263,,385.22727272727263
2003-09-30,385.22727272727263,,385.22727272727263
2003-10-31,250.0,,250.0
2003-11-30,250.0,,250.0
2003-12-31,183.20721769499417,,183.20721769499417
2004-01-31,66.16176314953962,,66.16176314953962
2004-02-29,66.21997036723462,,66.21997036723462
2004-03-31,66.3945920203196,,66.3945920203196
2004-04-30,109.00822838395597,,109.00822838395597
2004-05-31,109.00822838395597,,109.00822838395597
2004-06-30,109.00822838395597,,109.00822838395597
2004-07-31,124.27703989840194,,124.27703989840194
2004-08-31,124.27703989840194,,124.27703989840194
2004-09-30,124.27703989840194,,124.27703989840194
2004-10-31,101.38903587681236,,101.38903587681236
2004-11-30,101.38903587681236,,101.38903587681236
2004-12-31,101.21441422372737,,101.21441422372737
2005-01-31,102.23436342470102,,102.23436342470102
2005-02-28,102.29257064239602,,102.29257064239602
2005-03-31,102.350777860091,,102.350777860091
2005-04-30,128.99711609694145,,128.99711609694145
2005-05-31,128.99711609694145,,128.99711609694145
2005-06-30,128.99711609694145,,128.99711609694145
2005-07-31,146.61075246057783,,146.61075246057783
2005-08-31,146.61075246057783,,146.61075246057783
2005-09-30,146.61075246057783,,146.61075246057783
2005-10-31,103.99711609694145,,103.99711609694145
2005-11-30,103.99711609694145,,103.99711609694145
2005-12-31,103.99711609694145,,103.99711609694145
2006-01-31,178.99711609694145,,178.99711609694145
2006-02-28,179.05532331463644,,179.05532331463644
2006-03-31,179.05532331463644,,179.05532331463644
2006-04-30,78.76428722616149,,78.76428722616149
2006-05-31,78.93890887924647,,78.93890887924647
2006-06-30,78.93890887924647,,78.93890887924647
2006-07-31,123.25709069742828,,123.25709069742828
2006-08-31,123.25709069742828,,123.25709069742828
2006-09-30,123.25709069742828,,123.25709069742828
2006-10-31,90.20002116626097,,90.20002116626097
2006-11-30,90.20002116626097,,90.20002116626097
2006-12-31,90.20002116626097,,90.20002116626097
2007-01-31,156.8268791843137,,156.8268791843137
2007-02-28,156.78807437251703,,156.78807437251703
2007-03-31,156.78807437251703,,156.78807437251703
2007-04-30,82.54565013009278,,82.54565013009278
2007-05-31,82.54565013009278,,82.54565013009278
2007-06-30,82.54565013009278,,82.54565013009278
2007-07-31,105.23411804556883,,105.23411804556883
2007-08-31,105.23411804556883,,105.23411804556883
2007-09-30,105.23411804556883,,105.23411804556883
2007-10-31,141.97654228799308,,141.97654228799308
2007-11-30,141.97654228799308,,141.97654228799308
2007-12-31,141.97654228799308,,141.97654228799308
2008-01-31,94.65118441972858,,94.65118441972858
2008-02-29,94.34074592535528,,94.34074592535528
2008-03-31,94.26313630176196,,94.26313630176196
2008-04-30,80.66557747719497,,80.66557747719497
2008-05-31,80.66557747719497,,80.66557747719497
2008-06-30,80.66557747719497,,80.66557747719497
2008-07-31,53.121216521891064,,53.121216521891064
2008-08-31,53.1988261454844,,53.1988261454844
2008-09-30,53.1988261454844,,53.1988261454844
2008-10-31,-0.6278574541910492,,-0.6278574541910492
2008-11-30,-0.6278574541910492,,-0.6278574541910492
2008-12-31,-0.6278574541910492,,-0.6278574541910492
2009-01-31,36.7734119644091,,36.7734119644091
2009-02-28,36.7734119644091,,36.7734119644091
2009-03-31,36.7734119644091,,36.7734119644091
2009-04-30,80.33401802501515,,80.33401802501515
2009-05-31,80.52804208399847,,80.52804208399847
2009-06-30,79.9847747188452,,79.9847747188452
2009-07-31,118.76709736321673,,118.76709736321673
2009-08-31,118.72829255142005,,118.72829255142005
2009-09-30,118.72829255142005,,118.72829255142005
2009-10-31,149.4489155450349,,149.4489155450349
2009-11-30,149.4489155450349,,149.4489155450349
2009-12-31,149.4489155450349,,149.4489155450349
2010-01-31,96.16491261772829,,96.16491261772829
2010-02-28,96.16491261772829,,96.16491261772829
2010-03-31,96.16491261772829,,96.16491261772829
2010-04-30,84.17863541026367,,84.17863541026367
2010-05-31,84.17863541026367,,84.17863541026367
2010-06-30,84.17863541026367,,84.17863541026367
2010-07-31,108.83865234327243,,108.83865234327243
2010-08-31,108.87745715506911,,108.87745715506911
2010-09-30,108.87745715506911,,108.87745715506911
2010-10-31,87.17013362877003,,87.17013362877003
2010-11-30,87.17013362877003,,87.17013362877003
2010-12-31,87.17013362877003,,87.17013362877003
2011-01-31,68.64530952175768,,68.64530952175768
2011-02-28,68.64530952175768,,68.64530952175768
2011-03-31,68.64530952175768,,68.64530952175768
2011-04-30,117.9265385759786,,117.9265385759786
